rowname,study_id,mcmaster_sample_id,date_collected,study_name,sample_type,date_received,illumina_plate_number,gprep_plate_number,ring_number,colour_combination,date_char,date,season,dietary_season,sample_type_detail,area,territory,birth_year,breeding_status,age,age_fine,sex,species,X,Y,samples,Observed,Shannon,Simpson,julian
KCG87,KCG87,87,2022-08-24,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142895,gawr,24-Aug-22,2022-08-24,fall2022,fall,cloacal swab tip,managed,lillberget,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.08696,65.67895,KCG87,80,1.3964086,0.52209652,236
KCG88,KCG88,88,2022-08-07,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142148,magy,07-Aug-22,2022-08-07,fall2022,fall,cloacal swab tip,managed,tjarnatjarn,2020,non-breeder,adult,adult,NA,Perisoreus infaustus,19.2276,65.65862,KCG88,56,0.9854054,0.32450621,219
KCG89,KCG89,89,2022-08-28,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142884,gacc,28-Aug-22,2022-08-28,fall2022,fall,cloacal swab tip,managed,japanska,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.13646,65.66266,KCG89,92,2.2095302,0.78194283,240
KCG90,KCG90,90,2022-08-29,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142895,gawr,29-Aug-22,2022-08-29,fall2022,fall,cloacal swab tip,managed,lillberget,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.08696,65.67895,KCG90,18,1.9984959,0.72149383,241
KCG91,KCG91,91,2022-09-19,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142779,gag#,19-Sep-22,2022-09-19,fall2022,fall,cloacal swab tip,reivo,take5,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.1017,65.7952,KCG91,57,1.2526662,0.53362349,262
KCG92,KCG92,92,2022-09-19,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142771,bsca,19-Sep-22,2022-09-19,fall2022,fall,cloacal goop,reivo,take5,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.1017,65.7952,KCG92,70,2.6407783,0.86936677,262
KCG93,KCG93,93,2022-09-19,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142107,ggas,19-Sep-22,2022-09-19,fall2022,fall,cloacal swab tip,reivo,take5,2017,breeder,adult,adult,NA,Perisoreus infaustus,19.1017,65.7952,KCG93,26,2.1314907,0.77260981,262
KCG94,KCG94,94,2022-09-19,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5142810,gago,19-Sep-22,2022-09-19,fall2022,fall,faeces,reivo,laxtjarn,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.11516,65.80213,KCG94,147,2.2267993,0.77829768,262
KCG95,KCG95,95,2022-09-19,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142828,gap#,19-Sep-22,2022-09-19,fall2022,fall,cloacal swab tip,reivo,fello,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.04327,65.81245,KCG95,195,2.4940701,0.70984966,262
KCG96,KCG96,96,2022-08-05,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5142835,gass,05-Aug-22,2022-08-05,fall2022,fall,faeces,reivo,metro,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.1807,65.76973,KCG96,124,2.2050869,0.65744412,217
KCG97,KCG97,97,2022-08-05,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142831,o#ya,05-Aug-22,2022-08-05,fall2022,fall,cloacal swab tip,reivo,metro,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.1807,65.76973,KCG97,59,1.6500615,0.61840872,217
KCG98,KCG98,98,2022-09-20,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142846,gagr,20-Sep-22,2022-09-20,fall2022,fall,cloacal swab tip,reivo,trea,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.10231,65.78373,KCG98,84,2.0035032,0.80124619,263
KCG99,KCG99,99,2022-09-20,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142847,agcb,20-Sep-22,2022-09-20,fall2022,fall,cloacal swab tip,reivo,trea,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.10231,65.78373,KCG99,51,1.794784,0.70816234,263
KCG101,KCG101,101,2022-09-20,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142849,gawp,20-Sep-22,2022-09-20,fall2022,fall,cloacal swab tip,reivo,trea,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.10231,65.78373,KCG101,39,1.3354777,0.59935337,263
KCG102,KCG102,102,2022-09-22,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142822,goca,22-Sep-22,2022-09-22,fall2022,fall,cloacal swab tip,reivo,oldmabuse,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.1863,65.76023,KCG102,14,2.2530329,0.85849216,265
KCG103,KCG103,103,2022-09-20,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5142799,ymca,20-Sep-22,2022-09-20,fall2022,fall,faeces,reivo,frasses,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.14555,65.77938,KCG103,80,3.1985501,0.92792733,263
